,weekday,hour,region,count,total_amount_sum,duration_min,duration_sum,duration_max
405,2,9,7,121,866.42,2,36285,3113
406,2,10,1,1270,11271.280000000002,1,643128,84544
407,2,10,2,1578,11990.30000000001,3,640965,85928
408,2,10,3,9186,79492.28000000003,1,3852909,86329
409,2,10,4,3109,21999.529999999988,2,996004,86078
410,2,10,5,8419,57909.92999999988,1,2897084,86345
411,2,10,6,602,3857.6400000000003,2,230510,85592
412,2,10,7,69,683.09,5,18737,1312
413,2,11,1,1096,10390.080000000004,2,577210,86307
414,2,11,2,1507,12471.960000000008,2,554979,83633
415,2,11,3,9192,81762.39000000007,0,4553596,86214
416,2,11,4,3271,23017.799999999985,0,1123257,86291
417,2,11,5,9249,65462.32999999993,2,3616638,86352
418,2,11,6,713,4736.780000000001,1,175497,4225
419,2,11,7,71,770.1199999999999,7,30274,2014
420,2,12,1,1073,9186.460000000003,2,367319,3161
421,2,12,2,1639,12749.390000000005,2,691511,82920
422,2,12,3,10482,90068.25000000016,0,4848784,86350
423,2,12,4,3791,25688.119999999977,1,1402762,86031
424,2,12,5,10343,73691.91000000002,1,4018247,86288
425,2,12,6,783,5547.510000000002,3,307516,85285
426,2,12,7,53,611.94,4,12430,640
427,2,13,1,1111,9783.64,1,606958,86041
428,2,13,2,1705,14814.840000000006,1,757460,86158
429,2,13,3,10600,92395.77000000015,2,5392385,86338
430,2,13,4,3998,27586.689999999984,1,1446132,86187
431,2,13,5,10011,71756.99999999997,1,3814899,86303
432,2,13,6,857,6324.490000000003,2,215770,2722
433,2,13,7,55,638.84,8,17823,1000
434,2,14,1,1083,10088.540000000005,1,379876,4532
435,2,14,2,1690,14154.250000000004,1,470310,7126
436,2,14,3,9798,89157.28000000017,0,4825885,86260
437,2,14,4,3990,27817.599999999977,0,1287575,85502
438,2,14,5,10325,74071.43000000002,1,4656114,86367
439,2,14,6,865,6206.520000000001,3,415770,86172
440,2,14,7,64,431.39000000000004,8,19578,628
441,2,15,1,1000,8853.260000000004,1,474394,86037
442,2,15,2,1752,14417.150000000005,0,674871,86101
443,2,15,3,9344,84349.09000000013,0,4124151,86350
444,2,15,4,4428,31921.12999999996,1,1694482,86303
445,2,15,5,10944,79978.6700000001,1,4772429,86198
446,2,15,6,888,6217.030000000002,2,585886,86349
447,2,15,7,72,490.7800000000001,3,18315,631
448,2,16,1,887,10445.970000000005,1,365326,86175
449,2,16,2,1611,17234.780000000002,1,524557,84614
450,2,16,3,8496,91130.33000000012,1,4033609,86353
451,2,16,4,4044,34269.46999999995,2,2060679,86302
452,2,16,5,9644,79986.16000000006,1,3467891,86321
453,2,16,6,911,8923.840000000002,1,289594,26781
454,2,16,7,69,1343.2599999999998,3,19315,1407
455,2,17,1,1046,10313.360000000002,2,449585,84174
456,2,17,2,2076,19559.359999999993,1,574149,4540
457,2,17,3,9550,96641.92000000023,0,4131311,86379
458,2,17,4,4527,37985.03999999995,2,1503750,86315
459,2,17,5,10012,79919.2700000001,2,3651524,86351
460,2,17,6,1190,9510.970000000003,2,422831,86081
461,2,17,7,72,770.9799999999998,3,107467,83201
462,2,18,1,1238,11514.55,0,461336,86204
463,2,18,2,2745,24145.52999999999,1,1165886,86177
464,2,18,3,10953,105218.57000000025,0,4440774,86340
465,2,18,4,4904,37802.37999999993,0,1616315,86270
466,2,18,5,10597,82435.3800000001,2,3777110,86327
467,2,18,6,1178,10275.790000000005,1,393658,85368
468,2,18,7,97,1043.7199999999996,10,27296,1128
469,2,19,1,1087,9969.980000000001,1,553254,85377
470,2,19,2,2758,23444.79999999999,1,894638,86329
471,2,19,3,10104,88992.1900000001,0,4547491,86306
472,2,19,4,4401,34017.539999999964,2,2058375,86308
473,2,19,5,8687,66924.65999999999,0,3067722,86330
474,2,19,6,810,6345.770000000002,0,289016,86123
475,2,19,7,87,694.15,2,22907,1434
476,2,20,1,866,7665.160000000004,2,404703,86259
477,2,20,2,2486,19557.670000000002,1,1081216,86300
478,2,20,3,8163,68143.26999999997,1,3298850,86354
479,2,20,4,3011,21999.289999999986,0,980259,86114
480,2,20,5,6165,44386.89999999993,1,1691743,86283
481,2,20,6,759,6206.1100000000015,2,183420,2337
482,2,20,7,65,586.44,13,100181,86038
483,2,21,1,802,9006.010000000002,2,466327,84388
484,2,21,2,2432,21982.789999999994,1,698371,85624
485,2,21,3,7478,68191.66999999995,1,2854600,86195
486,2,21,4,2478,19502.289999999997,1,665552,86289
487,2,21,5,5231,39662.26999999994,1,1900984,86284
488,2,21,6,719,5922.01,3,422214,86172
489,2,21,7,84,1280.04,4,22216,2805
490,2,22,1,708,8105.750000000002,2,296339,86127
491,2,22,2,2263,20347.769999999997,1,654384,86281
492,2,22,3,6806,63317.90999999994,1,2979058,86336
493,2,22,4,1872,16237.320000000002,2,770750,86373
494,2,22,5,3711,28924.099999999962,0,1461899,86302
495,2,22,6,638,5978.340000000001,2,231148,85912
496,2,22,7,96,1176.3600000000001,3,21917,2142
497,2,23,1,582,5923.890000000001,0,140669,2189
498,2,23,2,2056,18766.949999999997,2,1109286,86218
499,2,23,3,5297,51836.89999999992,1,1854970,86267
500,2,23,4,1080,10332.880000000005,1,347157,86346
501,2,23,5,2153,17829.079999999998,1,712546,86313
502,2,23,6,679,5711.38,2,226891,85966
503,2,23,7,133,1683.01,3,31005,1634
504,3,0,1,420,5402.81,0,216739,86122
505,3,0,2,1787,16209.170000000002,0,604677,85722
506,3,0,3,3881,41731.959999999955,1,1368123,85655
507,3,0,4,620,7401.500000000002,2,553221,86242
508,3,0,5,1125,10433.980000000001,0,574290,85918
509,3,0,6,567,4424.920000000001,1,291325,86191
510,3,0,7,74,1298.0,3,17297,2890
511,3,1,1,241,3162.8500000000004,2,53172,2470
512,3,1,2,1271,11437.190000000004,2,301012,3745
513,3,1,3,2559,26822.769999999986,2,1112845,86378
514,3,1,4,324,3953.6,1,83346,2372
515,3,1,5,695,6538.640000000001,2,131678,2011
516,3,1,6,403,3162.919999999999,2,88852,6257
517,3,1,7,45,674.02,1,92743,83154
518,3,2,1,172,2035.14,2,45437,3056
519,3,2,2,887,7381.340000000004,2,365507,85638
520,3,2,3,1820,18776.579999999998,0,693106,86007
521,3,2,4,180,2179.67,3,50344,2396
522,3,2,5,365,3551.930000000001,2,92952,4934
523,3,2,6,287,2375.0999999999995,2,142615,86246
524,3,2,7,36,388.05000000000007,5,6849,507
