VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,02/08/2018 06:44:42 AM,02/08/2018 06:48:37 AM,1,0.8,1,N,79,224,2,5,0,0.5,0,0,0.3,5.8
1,02/08/2018 06:51:38 AM,02/08/2018 07:08:52 AM,1,3.7,1,N,224,43,1,15,0,0.5,3.16,0,0.3,18.96
1,02/08/2018 06:43:58 AM,02/08/2018 06:53:39 AM,1,2.3,1,N,113,13,1,10,0,0.5,1.5,0,0.3,12.3
1,02/08/2018 06:37:24 AM,02/08/2018 06:51:58 AM,1,3,1,N,48,141,1,12,0,0.5,2.55,0,0.3,15.35
2,02/08/2018 06:18:24 AM,02/08/2018 06:21:54 AM,6,0.86,1,N,48,68,1,4.5,0,0.5,1.32,0,0.3,6.62
2,02/08/2018 06:25:41 AM,02/08/2018 06:32:10 AM,6,1.22,1,N,68,48,1,6.5,0,0.5,0.7,0,0.3,8
2,02/08/2018 06:35:08 AM,02/08/2018 06:43:47 AM,6,1.49,1,N,48,107,2,8,0,0.5,0,0,0.3,8.8
2,02/08/2018 06:50:22 AM,02/08/2018 06:55:47 AM,6,1.19,1,N,68,230,2,6,0,0.5,0,0,0.3,6.8
1,02/08/2018 06:18:41 AM,02/08/2018 06:23:05 AM,1,0.9,1,N,90,48,1,5.5,0,0.5,0.63,0,0.3,6.93
1,02/08/2018 06:29:24 AM,02/08/2018 06:32:58 AM,0,0.5,1,N,48,230,2,4.5,0,0.5,0,0,0.3,5.3
1,02/08/2018 06:42:28 AM,02/08/2018 06:51:59 AM,0,1.5,1,N,100,143,1,8,0,0.5,2.2,0,0.3,11
1,02/08/2018 06:11:53 AM,02/08/2018 06:15:17 AM,1,0.4,1,N,230,48,2,4.5,0,0.5,0,0,0.3,5.3
1,02/08/2018 06:28:25 AM,02/08/2018 06:31:03 AM,1,0.4,1,N,186,68,2,4,0,0.5,0,0,0.3,4.8
1,02/08/2018 06:38:23 AM,02/08/2018 06:42:55 AM,1,1,1,N,100,234,1,5.5,0,0.5,1.25,0,0.3,7.55
1,02/08/2018 06:50:21 AM,02/08/2018 07:00:36 AM,1,1.8,1,N,90,230,1,9,0,0.5,1.95,0,0.3,11.75
1,02/08/2018 06:12:39 AM,02/08/2018 06:23:55 AM,1,3,1,N,238,140,1,11.5,0,0.5,3.05,0,0.3,15.35
1,02/08/2018 06:32:38 AM,02/08/2018 06:36:00 AM,1,1.3,1,N,236,237,1,5.5,0,0.5,1.25,0,0.3,7.55
1,02/08/2018 06:51:47 AM,02/08/2018 06:57:16 AM,1,1,1,N,68,48,1,6,0,0.5,1.35,0,0.3,8.15
1,02/08/2018 06:46:39 AM,02/08/2018 07:25:19 AM,1,11.5,1,N,161,138,1,38,0,0.5,8.9,5.76,0.3,53.46
2,02/08/2018 06:56:43 AM,02/08/2018 07:03:03 AM,2,1.24,1,N,141,233,1,6.5,0,0.5,0.6,0,0.3,7.9
2,02/08/2018 06:09:13 AM,02/08/2018 06:15:28 AM,1,1.46,1,N,41,263,2,7,0,0.5,0,0,0.3,7.8
2,02/08/2018 06:28:47 AM,02/08/2018 06:34:16 AM,1,1.5,1,N,162,140,2,6.5,0,0.5,0,0,0.3,7.3
2,02/08/2018 06:40:02 AM,02/08/2018 06:44:46 AM,1,0.91,1,N,141,237,2,5.5,0,0.5,0,0,0.3,6.3
1,02/08/2018 06:09:38 AM,02/08/2018 06:21:06 AM,1,2.6,1,N,148,162,2,10.5,0,0.5,0,0,0.3,11.3
1,02/08/2018 06:36:05 AM,02/08/2018 06:43:57 AM,1,2.2,1,N,236,162,1,8.5,0,0.5,1.86,0,0.3,11.16
1,02/08/2018 06:44:29 AM,02/08/2018 06:50:35 AM,1,0.9,1,N,162,137,2,6,0,0.5,0,0,0.3,6.8
1,02/08/2018 06:55:35 AM,02/08/2018 06:59:30 AM,1,1,1,N,233,141,1,5.5,0,0.5,1.25,0,0.3,7.55
1,02/08/2018 06:05:19 AM,02/08/2018 06:38:12 AM,1,18.2,2,N,24,132,1,52,0,0.5,11.7,5.76,0.3,70.26
